# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
5.000000000000000278e-02 1.249894596754018428e-01 4.689494543644537479e-04 7.913330052122111093e-07
1.000000000000000056e-01 1.250039252857222116e-01 4.697037180122494004e-04 3.053347482284795061e-06
1.499999999999999944e-01 1.250412167920634532e-01 4.710342213012137943e-04 6.481470137172380625e-06
2.000000000000000111e-01 1.250980938308265955e-01 4.729558595478960221e-04 1.063151771489172947e-05
2.500000000000000000e-01 1.251707107285428278e-01 4.754795898997180546e-04 1.499341419130189589e-05
2.999999999999999889e-01 1.252551596316912874e-01 4.786040069679461722e-04 1.908245583561855071e-05
3.499999999999999778e-01 1.253480189233145692e-01 4.823074807092741600e-04 2.253209872185183704e-05
4.000000000000000222e-01 1.254468100988283263e-01 4.865432189575230452e-04 2.516432230044328007e-05
4.500000000000000111e-01 1.255502589923520596e-01 4.912395670760749851e-04 2.701501900363875868e-05
5.000000000000000000e-01 1.256582801152035245e-01 4.963065771401570236e-04 2.830711165434766523e-05
5.500000000000000444e-01 1.257716474189361777e-01 5.016476260140550775e-04 2.938445839560368335e-05
5.999999999999999778e-01 1.258913839392002687e-01 5.071728320333249032e-04 3.062993389843670684e-05
6.500000000000000222e-01 1.260179743562351851e-01 5.128105234844267503e-04 3.238682284769335497e-05
6.999999999999999556e-01 1.261505705752847262e-01 5.185141711504031789e-04 3.489295602383221299e-05
7.500000000000000000e-01 1.262864064788269125e-01 5.242640841504155654e-04 3.823237335781904262e-05
8.000000000000000444e-01 1.264206474879054631e-01 5.300647397000317080e-04 4.231218123614292545e-05
8.499999999999999778e-01 1.265468384364097088e-01 5.359392957954760370e-04 4.687735252953621458e-05
9.000000000000000222e-01 1.266579602564359142e-01 5.419228449739655999e-04 5.157431339899014750e-05
9.499999999999999556e-01 1.267478753491920462e-01 5.480555894888579924e-04 5.605770109402358420e-05
1.000000000000000000e+00 1.268127256031293393e-01 5.543767855847126034e-04 6.010633269524512932e-05
1.050000000000000044e+00 1.268517765709266942e-01 5.609197897891260269e-04 6.369463982678837024e-05
1.100000000000000089e+00 1.268673932364291768e-01 5.677084214586124687e-04 6.698039949253211224e-05
1.149999999999999911e+00 1.268642222167583877e-01 5.747545905602018893e-04 7.021627588717147255e-05
1.199999999999999956e+00 1.268480218278829341e-01 5.820569811345145195e-04 7.363887734419002993e-05
1.250000000000000000e+00 1.268246905568827798e-01 5.896006492101420454e-04 7.740367756600546325e-05
1.300000000000000044e+00 1.267998239231029334e-01 5.973574073606484347e-04 8.160515264057075814e-05
1.350000000000000089e+00 1.267787201307593314e-01 6.052875015630006933e-04 8.635660713433167171e-05
1.399999999999999911e+00 1.267664610175162077e-01 6.133431824666309151e-04 9.185942127720309318e-05
1.449999999999999956e+00 1.267677408257890104e-01 6.214743394751683601e-04 9.841339753648117221e-05
1.500000000000000000e+00 1.267863790914416644e-01 6.296355866629747356e-04 1.063773521727038289e-04
1.550000000000000044e+00 1.268246409688032206e-01 6.377929544031632524e-04 1.161084526863561674e-04
1.600000000000000089e+00 1.268825212360023824e-01 6.459306516911748376e-04 1.279827156791953047e-04
1.649999999999999911e+00 1.269578365590811886e-01 6.540570121275794202e-04 1.418896973131421747e-04
1.699999999999999956e+00 1.270425891831487297e-01 6.621898692591702716e-04 1.562413819873987675e-04
1.750000000000000000e+00 1.271330054646170049e-01 6.703862080745878619e-04 1.718361224880055776e-04
1.800000000000000044e+00 1.272233954830148672e-01 6.787247645227274763e-04 1.878369303047305850e-04
1.850000000000000089e+00 1.273037617567880642e-01 6.872250477629091546e-04 2.019823531777157157e-04
1.899999999999999911e+00 1.273629941472023686e-01 6.959386804163414375e-04 2.117972292727357303e-04
1.949999999999999956e+00 1.274038988032166198e-01 7.050015471025937192e-04 2.210389095933260137e-04
2.000000000000000000e+00 1.274278855378411235e-01 7.144783203473274941e-04 2.301125683675616556e-04
2.049999999999999822e+00 1.274365822255877356e-01 7.244167417224439600e-04 2.398475954027809074e-04
2.100000000000000089e+00 1.274269465655046008e-01 7.348042435430704022e-04 2.491782326716181564e-04
2.149999999999999911e+00 1.273926769807714743e-01 7.456064624673306015e-04 2.523888815278986747e-04
2.200000000000000178e+00 1.273361523712328580e-01 7.569431077427421842e-04 2.524386833275131287e-04
2.250000000000000000e+00 1.272690771267398213e-01 7.693879979468337422e-04 2.528879036909349970e-04
2.299999999999999822e+00 1.271992846916825126e-01 7.822992212114767340e-04 2.549064361775247103e-04
2.350000000000000089e+00 1.271241028852038990e-01 7.959238735653946387e-04 2.595183111235259540e-04
2.399999999999999911e+00 1.270404470133456587e-01 8.102756857778944900e-04 2.636317426775009972e-04
2.450000000000000178e+00 1.269418447831758834e-01 8.252257950959253656e-04 2.611095178122850580e-04
2.500000000000000000e+00 1.268358473523960028e-01 8.408214833824613965e-04 2.596640754036489817e-04
2.549999999999999822e+00 1.267368807663794839e-01 8.575992719984215206e-04 2.579198362284966127e-04
