Iteration, Time, KE, dilatation_dissipation, enstrophy_dissipation, rhom
1, 5.000000000000e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
100, 5.000000000000e-02, 2.096975091025e+06, 1.593778139195e+04, 1.258827080514e+07, 1.677721577338e+07
200, 1.000000000000e-01, 2.097217715800e+06, 6.148624018160e+04, 1.260851759916e+07, 1.677721551259e+07
300, 1.500000000000e-01, 2.097843316146e+06, 1.305127696399e+05, 1.264423347348e+07, 1.677721531417e+07
400, 2.000000000000e-01, 2.098797508677e+06, 2.140709447391e+05, 1.269581906806e+07, 1.677721508216e+07
500, 2.500000000000e-01, 2.100015781456e+06, 3.018878213407e+05, 1.276356815816e+07, 1.677721486299e+07
600, 3.000000000000e-01, 2.101432566353e+06, 3.842086247340e+05, 1.284744299486e+07, 1.677721464601e+07
700, 3.500000000000e-01, 2.102990463137e+06, 4.536520283140e+05, 1.294686263575e+07, 1.677721444128e+07
800, 4.000000000000e-01, 2.104647892645e+06, 5.066385975383e+05, 1.306057027044e+07, 1.677721424715e+07
900, 4.500000000000e-01, 2.106383488628e+06, 5.438927545236e+05, 1.318664156049e+07, 1.677721406056e+07
1000, 5.000000000000e-01, 2.108195832320e+06, 5.699038802104e+05, 1.332266135616e+07, 1.677721389372e+07
1100, 5.500000000000e-01, 2.110097927397e+06, 5.915956497832e+05, 1.346603592256e+07, 1.677721374477e+07
1200, 6.000000000000e-01, 2.112106951687e+06, 6.166772230824e+05, 1.361435293880e+07, 1.677721363623e+07
1300, 6.500000000000e-01, 2.114231041371e+06, 6.520614625473e+05, 1.376568901053e+07, 1.677721356897e+07
1400, 7.000000000000e-01, 2.116455936598e+06, 7.025375552882e+05, 1.391879565666e+07, 1.677721353723e+07
1500, 7.500000000000e-01, 2.118735183529e+06, 7.697963787897e+05, 1.407314474671e+07, 1.677721354051e+07
1600, 8.000000000000e-01, 2.120987603429e+06, 8.519634089553e+05, 1.422885670108e+07, 1.677721355929e+07
1700, 8.500000000000e-01, 2.123104834774e+06, 9.438978953400e+05, 1.438655322736e+07, 1.677721358030e+07
1800, 9.000000000000e-01, 2.124969095505e+06, 1.038479787783e+06, 1.454717656606e+07, 1.677721361803e+07
1900, 9.500000000000e-01, 2.126477461265e+06, 1.128765096287e+06, 1.471180662097e+07, 1.677721371295e+07
2000, 1.000000000000e+00, 2.127565298713e+06, 1.210323451611e+06, 1.488149753688e+07, 1.677721384451e+07
2100, 1.050000000000e+00, 2.128220365045e+06, 1.282667014088e+06, 1.505714535722e+07, 1.677721390571e+07
2200, 1.100000000000e+00, 2.128482356266e+06, 1.348997513994e+06, 1.523939069118e+07, 1.677721387998e+07
2300, 1.150000000000e+00, 2.128429149124e+06, 1.414421528972e+06, 1.542855476747e+07, 1.677721377207e+07
2400, 1.200000000000e+00, 2.128157223993e+06, 1.483731135096e+06, 1.562460303169e+07, 1.677721370745e+07
2500, 1.250000000000e+00, 2.127765471188e+06, 1.560151390293e+06, 1.582713189276e+07, 1.677721376074e+07
2600, 1.300000000000e+00, 2.127347835489e+06, 1.645789332436e+06, 1.603538081913e+07, 1.677721389064e+07
2700, 1.350000000000e+00, 2.126993354685e+06, 1.743312471951e+06, 1.624828051622e+07, 1.677721395515e+07
2800, 1.400000000000e+00, 2.126787402107e+06, 1.857486412406e+06, 1.646454749878e+07, 1.677721390671e+07
2900, 1.450000000000e+00, 2.126808777139e+06, 1.995657664225e+06, 1.668283074946e+07, 1.677721386175e+07
3000, 1.500000000000e+00, 2.127121676186e+06, 2.167557255390e+06, 1.690190098968e+07, 1.677721395629e+07
3100, 1.550000000000e+00, 2.127764927954e+06, 2.385090232193e+06, 1.712085491033e+07, 1.677721423261e+07
3200, 1.600000000000e+00, 2.128741990608e+06, 2.662504402226e+06, 1.733928900571e+07, 1.677721425726e+07
3300, 1.650000000000e+00, 2.130015041212e+06, 3.016441600927e+06, 1.755739184816e+07, 1.677721449093e+07
3400, 1.700000000000e+00, 2.131505784127e+06, 3.462869305606e+06, 1.777592773266e+07, 1.677721516679e+07
3500, 1.750000000000e+00, 2.133103889416e+06, 4.010687190814e+06, 1.799611278427e+07, 1.677721616576e+07
3600, 1.800000000000e+00, 2.134691895500e+06, 4.661074203141e+06, 1.821948509933e+07, 1.677721723142e+07
3700, 1.850000000000e+00, 2.136158358645e+06, 5.385661784872e+06, 1.844778328004e+07, 1.677721818410e+07
3800, 1.900000000000e+00, 2.137418523775e+06, 6.221502937844e+06, 1.868321570005e+07, 1.677721911093e+07
3900, 1.950000000000e+00, 2.138364375269e+06, 7.038823184760e+06, 1.892749225651e+07, 1.677721996037e+07
4000, 2.000000000000e+00, 2.139013625931e+06, 7.847243287657e+06, 1.918336954890e+07, 1.677722083978e+07
4100, 2.050000000000e+00, 2.139334644126e+06, 8.826806061719e+06, 1.945449776826e+07, 1.677722198110e+07
4200, 2.100000000000e+00, 2.139205721677e+06, 9.438389448776e+06, 1.974015718727e+07, 1.677722344607e+07
4300, 2.150000000000e+00, 2.138952495370e+06, 1.032183498089e+07, 2.004545653996e+07, 1.677722536562e+07
4400, 2.200000000000e+00, 2.138276407517e+06, 1.105746452537e+07, 2.036910787051e+07, 1.677722781258e+07
4500, 2.250000000000e+00, 2.137354561641e+06, 1.145044521194e+07, 2.071447886710e+07, 1.677723042945e+07
4600, 2.300000000000e+00, 2.136442133395e+06, 1.234710494801e+07, 2.108272506934e+07, 1.677723351465e+07
4700, 2.350000000000e+00, 2.135020304342e+06, 1.258054565870e+07, 2.146777249169e+07, 1.677723679869e+07
4800, 2.400000000000e+00, 2.133676304649e+06, 1.296810504080e+07, 2.188183353527e+07, 1.677724009168e+07
4900, 2.450000000000e+00, 2.132217820936e+06, 1.356938189286e+07, 2.230999261405e+07, 1.677724335964e+07
5000, 2.500000000000e+00, 2.130412905533e+06, 1.348819446722e+07, 2.276010633128e+07, 1.677724638744e+07
5100, 2.550000000000e+00, 2.128894639557e+06, 1.386569898360e+07, 2.323718736904e+07, 1.677724895292e+07
5200, 2.600000000000e+00, 2.127194255254e+06, 1.396678254042e+07, 2.371505135757e+07, 1.677725153482e+07
5300, 2.650000000000e+00, 2.125549140510e+06, 1.375344509107e+07, 2.421985839882e+07, 1.677725368362e+07
5400, 2.700000000000e+00, 2.124300621968e+06, 1.416858411754e+07, 2.473399666187e+07, 1.677725556660e+07
5500, 2.750000000000e+00, 2.122901795337e+06, 1.359594939233e+07, 2.524180294378e+07, 1.677725759619e+07
5600, 2.800000000000e+00, 2.122110541356e+06, 1.383243131117e+07, 2.577673334642e+07, 1.677725838969e+07
5700, 2.850000000000e+00, 2.121377124136e+06, 1.348755683668e+07, 2.629059126739e+07, 1.677725830895e+07
5800, 2.900000000000e+00, 2.121100705358e+06, 1.330330578866e+07, 2.682021424459e+07, 1.677725880004e+07
5900, 2.950000000000e+00, 2.121087031007e+06, 1.315623593093e+07, 2.734201394988e+07, 1.677725900948e+07
6000, 3.000000000000e+00, 2.121395408413e+06, 1.269805663449e+07, 2.785973907123e+07, 1.677725677788e+07
6100, 3.050000000000e+00, 2.121977651277e+06, 1.251774421247e+07, 2.838627854155e+07, 1.677725456247e+07
6200, 3.100000000000e+00, 2.122897394104e+06, 1.220755550364e+07, 2.891635367792e+07, 1.677725403205e+07
6300, 3.150000000000e+00, 2.123885780042e+06, 1.156668174432e+07, 2.945561140522e+07, 1.677725354641e+07
6400, 3.200000000000e+00, 2.125436702481e+06, 1.189232024844e+07, 3.003069567111e+07, 1.677725055179e+07
6500, 3.250000000000e+00, 2.126746706519e+06, 1.054909651787e+07, 3.060306533703e+07, 1.677724994035e+07
6600, 3.300000000000e+00, 2.128791863010e+06, 1.140795015974e+07, 3.124366383325e+07, 1.677724960305e+07
6700, 3.350000000000e+00, 2.130571237341e+06, 1.040014564113e+07, 3.188086347933e+07, 1.677724746895e+07
6800, 3.400000000000e+00, 2.132667973918e+06, 1.042258994766e+07, 3.257904169853e+07, 1.677724253118e+07
6900, 3.450000000000e+00, 2.134919400806e+06, 1.074359127518e+07, 3.331344439763e+07, 1.677723793053e+07
7000, 3.500000000000e+00, 2.136852147798e+06, 9.909106407414e+06, 3.408348483709e+07, 1.677723569167e+07
7100, 3.550000000000e+00, 2.139037173212e+06, 1.049812423412e+07, 3.490120407964e+07, 1.677723398230e+07
7200, 3.600000000000e+00, 2.140790377074e+06, 1.011335553037e+07, 3.576061877859e+07, 1.677723086376e+07
7300, 3.650000000000e+00, 2.142413416080e+06, 1.020869439849e+07, 3.664268253194e+07, 1.677722692051e+07
7400, 3.700000000000e+00, 2.143707791782e+06, 1.023355996427e+07, 3.756284045847e+07, 1.677722232987e+07
7500, 3.750000000000e+00, 2.144542278950e+06, 9.954200100296e+06, 3.848818022164e+07, 1.677721856861e+07
7600, 3.800000000000e+00, 2.145055858197e+06, 1.006427751753e+07, 3.942502659000e+07, 1.677721508751e+07
7700, 3.850000000000e+00, 2.144972617560e+06, 9.732769739782e+06, 4.036280572131e+07, 1.677721117293e+07
7800, 3.900000000000e+00, 2.144454713150e+06, 9.641189539805e+06, 4.129525334219e+07, 1.677720589215e+07
7900, 3.950000000000e+00, 2.143394435837e+06, 9.389649327100e+06, 4.223287872270e+07, 1.677720087167e+07
8000, 4.000000000000e+00, 2.141855890223e+06, 9.062594960809e+06, 4.317021640008e+07, 1.677719421495e+07
8100, 4.050000000000e+00, 2.139965002035e+06, 8.863563287757e+06, 4.411680256005e+07, 1.677719004481e+07
8200, 4.100000000000e+00, 2.137740571043e+06, 8.522440796824e+06, 4.507469976712e+07, 1.677718640277e+07
8300, 4.150000000000e+00, 2.135338236998e+06, 8.271532322184e+06, 4.604619114048e+07, 1.677718469632e+07
